epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7683,1.50911,1.96869,3.67774,1.27299,0,0.73526,0.13542,0.17271,0.123,0.73479,0.13469,0.17106,0.10353,1.16866,1.60308,2.78612,1.06794,0,0.000114908,0.000114908,0.000114908
2,149.654,1.26574,1.53949,2.55876,1.12408,0,0.62371,0.25228,0.27597,0.20101,0.66341,0.25144,0.27498,0.16903,1.06593,1.56182,2.30596,1.04768,0,0.000229684,0.000229684,0.000229684
3,221.565,1.21164,1.4677,2.29507,1.09459,0,0.67643,0.33751,0.35272,0.25572,0.67529,0.33628,0.35035,0.22399,1.06906,1.51517,2.21531,1.02666,0,0.000343562,0.000343562,0.000343562
4,293.07,1.18792,1.44338,2.17425,1.07407,0,0.67361,0.39206,0.44254,0.32882,0.67581,0.38963,0.44036,0.29294,1.02123,1.41178,1.97344,1.00768,0,0.000341975,0.000341975,0.000341975
5,364.412,1.14294,1.38905,2.0179,1.0557,0,0.60523,0.42052,0.46013,0.34046,0.5992,0.41403,0.45228,0.30601,1.02096,1.41752,1.92403,1.01459,0,0.000339635,0.000339635,0.000339635
6,436.118,1.11937,1.34624,1.90575,1.04525,0,0.59194,0.44881,0.4597,0.33724,0.5903,0.44714,0.45591,0.30345,1.01143,1.44372,1.83494,1.00698,0,0.000336642,0.000336642,0.000336642
7,507.693,1.10435,1.33573,1.78875,1.04379,0,0.66471,0.42573,0.50921,0.37789,0.665,0.42366,0.50693,0.33701,0.98373,1.40636,1.75753,0.99086,0,0.000333008,0.000333008,0.000333008
8,579.501,1.07401,1.29264,1.72462,1.02789,0,0.71449,0.46059,0.55165,0.39553,0.71579,0.46191,0.55061,0.35987,0.98184,1.29815,1.66953,0.99445,0,0.000328747,0.000328747,0.000328747
9,650.932,1.06715,1.279,1.59529,1.02175,0,0.63921,0.50056,0.56388,0.42229,0.6368,0.49852,0.56503,0.37594,0.94171,1.36102,1.50934,0.96832,0,0.000323876,0.000323876,0.000323876
10,722.882,1.05162,1.27064,1.528,1.01262,0,0.6851,0.54185,0.58131,0.44253,0.68288,0.53827,0.57812,0.39278,0.91949,1.36423,1.47516,0.96206,0,0.000318415,0.000318415,0.000318415
