epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,131.082,1.48701,1.95727,4.61637,1.3578,0,0.57762,0.12061,0.1414,0.09974,0.57733,0.12016,0.1407,0.08049,1.19583,1.41098,4.02995,1.19429,0,0.000114954,0.000114954,0.000114954
2,256.386,1.25425,1.56018,3.60666,1.2019,0,0.63689,0.19073,0.22364,0.16094,0.6375,0.19109,0.22403,0.1393,1.12408,1.3096,3.68885,1.14079,0,0.000229898,0.000229898,0.000229898
3,380.374,1.2122,1.45609,3.32365,1.18002,0,0.59694,0.25509,0.28246,0.20093,0.59605,0.25408,0.28129,0.17852,1.11238,1.33244,3.36646,1.13122,0,0.000344617,0.000344617,0.000344617
4,504.735,1.19563,1.43052,2.98868,1.16896,0,0.55218,0.30895,0.3064,0.22384,0.55221,0.30881,0.30551,0.2016,1.08338,1.232,3.10886,1.10728,0,0.000344242,0.000344242,0.000344242
5,628.508,1.16648,1.38758,2.90197,1.14731,0,0.58891,0.29242,0.34487,0.26047,0.63012,0.29224,0.3445,0.22949,1.05418,1.22581,2.78063,1.09047,0,0.000343653,0.000343653,0.000343653
6,752.41,1.14649,1.36394,2.66842,1.13805,0,0.73023,0.35985,0.39839,0.29359,0.73003,0.35929,0.39766,0.26675,1.03492,1.20489,2.46683,1.08707,0,0.000342897,0.000342897,0.000342897
7,876.436,1.12472,1.33548,2.4226,1.13344,0,0.6192,0.35274,0.38952,0.28458,0.6177,0.35151,0.38869,0.25989,1.01461,1.17549,2.31575,1.07325,0,0.000341975,0.000341975,0.000341975
8,1000.61,1.11366,1.32858,2.23868,1.11291,0,0.55307,0.38932,0.42899,0.31702,0.5515,0.38822,0.42834,0.28396,1.03781,1.16372,2.12253,1.0769,0,0.000340887,0.000340887,0.000340887
9,1124.65,1.10918,1.29555,2.11,1.10912,0,0.57282,0.38847,0.42828,0.32727,0.57262,0.38808,0.42752,0.29622,1.01374,1.19907,2.02334,1.05822,0,0.000339635,0.000339635,0.000339635
10,1249.19,1.08466,1.30254,2.01443,1.10242,0,0.60588,0.43523,0.46937,0.35174,0.6052,0.4346,0.47285,0.31323,0.9678,1.14519,2.02849,1.04521,0,0.000338219,0.000338219,0.000338219
11,1373.26,1.07296,1.26308,1.90199,1.09225,0,0.69652,0.39909,0.51153,0.39005,0.69605,0.3954,0.52882,0.3631,0.96875,1.14668,1.83902,1.03822,0,0.000336642,0.000336642,0.000336642
12,1497.51,1.06245,1.27317,1.84598,1.08487,0,0.63579,0.51134,0.52984,0.41017,0.62448,0.51647,0.53664,0.37337,0.97192,1.14326,1.76603,1.03245,0,0.000334904,0.000334904,0.000334904
13,1621.75,1.06486,1.26377,1.82794,1.08785,0,0.72298,0.47509,0.53041,0.39396,0.72274,0.47489,0.53223,0.35985,0.97194,1.10203,1.67141,1.03834,0,0.000333008,0.000333008,0.000333008
14,1745.21,1.04194,1.22112,1.68476,1.07493,0,0.63657,0.47644,0.54105,0.40671,0.63328,0.47337,0.55718,0.38162,0.9676,1.1151,1.66067,1.02916,0,0.000330955,0.000330955,0.000330955
15,1868.83,1.04558,1.21169,1.69454,1.07253,0,0.7842,0.46179,0.57065,0.42967,0.78425,0.45971,0.57851,0.39235,0.97696,1.10262,1.62212,1.04146,0,0.000328747,0.000328747,0.000328747
16,1992.82,1.02556,1.23574,1.59439,1.06056,0,0.63747,0.50896,0.57552,0.43964,0.63505,0.50644,0.58287,0.39933,0.95099,1.08883,1.58589,1.01121,0,0.000326387,0.000326387,0.000326387
17,2116.74,1.02704,1.21673,1.65297,1.06755,0,0.61892,0.51514,0.53703,0.39988,0.61822,0.51457,0.5377,0.35965,0.94841,1.07377,1.59313,1.01405,0,0.000323876,0.000323876,0.000323876
18,2240.86,1.01836,1.19859,1.59386,1.06446,0,0.69223,0.52635,0.58876,0.46266,0.69162,0.52575,0.58815,0.41746,0.93912,1.08621,1.39799,1.01154,0,0.000321218,0.000321218,0.000321218
