epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,101.058,1.35396,1.74363,3.0883,1.20234,0,0.57104,0.34443,0.34665,0.24257,0.56297,0.33923,0.33993,0.21364,1.0775,1.42153,1.85637,1.03444,0,0.000114908,0.000114908,0.000114908
2,200.807,1.14384,1.38592,1.78844,1.06872,0,0.55512,0.45225,0.45931,0.32438,0.55348,0.4504,0.45717,0.28314,1.04391,1.38321,1.54798,1.04019,0,0.00022982,0.00022982,0.00022982
3,300.314,1.11636,1.3529,1.60049,1.05423,0,0.6007,0.43305,0.51825,0.3666,0.6008,0.43147,0.5228,0.33694,1.05088,1.44496,1.52623,1.03015,0,0.000344382,0.000344382,0.000344382
4,399.654,1.10376,1.34485,1.54104,1.04323,0,0.60653,0.56375,0.55254,0.41078,0.59528,0.55808,0.54465,0.36606,0.98268,1.34919,1.35214,0.99672,0,0.000343816,0.000343816,0.000343816
5,498.994,1.06473,1.27836,1.44285,1.02924,0,0.57361,0.52358,0.5442,0.39694,0.56908,0.5194,0.53985,0.35842,0.97852,1.24842,1.28747,0.99777,0,0.000342897,0.000342897,0.000342897
6,598.22,1.04624,1.25834,1.353,1.01953,0,0.68573,0.55633,0.5669,0.41195,0.67991,0.555,0.5635,0.36123,0.99964,1.37457,1.22593,1.00734,0,0.000341719,0.000341719,0.000341719
7,697.451,1.02936,1.23611,1.27812,1.01689,0,0.59988,0.60918,0.63027,0.46708,0.61049,0.63526,0.64317,0.43127,0.93848,1.23679,1.16184,0.97552,0,0.000340281,0.000340281,0.000340281
8,796.914,0.99111,1.18739,1.22424,1.00007,0,0.71769,0.58193,0.62931,0.46163,0.71629,0.58433,0.66149,0.40301,0.95444,1.33679,1.13318,0.98003,0,0.000338588,0.000338588,0.000338588
9,896.216,0.98499,1.18752,1.166,0.99322,0,0.74175,0.53049,0.63348,0.4833,0.75854,0.55491,0.65609,0.43006,0.93112,1.33321,1.02426,0.96693,0,0.000336642,0.000336642,0.000336642
10,995.625,0.97475,1.17303,1.13105,0.98768,0,0.64922,0.66113,0.67904,0.51239,0.65917,0.6619,0.70048,0.44988,0.90382,1.2336,0.97411,0.95201,0,0.000334445,0.000334445,0.000334445
11,1095.31,0.96967,1.18526,1.08053,0.98567,0,0.67367,0.66219,0.69109,0.53285,0.6017,0.69972,0.69957,0.47023,0.89182,1.2147,1.01062,0.94727,0,0.000332001,0.000332001,0.000332001
12,1194.68,0.95917,1.15302,1.06451,0.98257,0,0.75079,0.60989,0.70756,0.5369,0.72637,0.69527,0.74189,0.47347,0.87984,1.31922,0.96493,0.93798,0,0.000329313,0.000329313,0.000329313
13,1294.17,0.94427,1.14418,1.03803,0.97439,0,0.76909,0.60526,0.71615,0.55535,0.77105,0.60635,0.72487,0.5022,0.87115,1.27983,0.9276,0.92851,0,0.000326387,0.000326387,0.000326387
14,1393.73,0.93652,1.12294,1.02128,0.97221,0,0.81886,0.64219,0.71578,0.55901,0.8146,0.64024,0.70879,0.48664,0.88055,1.26759,0.95855,0.92851,0,0.000323226,0.000323226,0.000323226
15,1493.11,0.91758,1.1144,0.98161,0.96518,0,0.70137,0.70188,0.74647,0.57927,0.83096,0.65971,0.76016,0.51011,0.86707,1.28991,0.86252,0.92947,0,0.000319835,0.000319835,0.000319835
16,1592.35,0.91503,1.11275,0.96379,0.96238,0,0.8275,0.6543,0.74541,0.59092,0.82518,0.65298,0.74661,0.51592,0.86366,1.19133,0.84285,0.92609,0,0.000316219,0.000316219,0.000316219
17,1691.74,0.90456,1.09102,0.96565,0.96295,0,0.81965,0.67009,0.75354,0.59946,0.81843,0.66988,0.7572,0.52327,0.85014,1.24987,0.84461,0.92591,0,0.000312385,0.000312385,0.000312385
18,1791.31,0.90441,1.08388,0.93731,0.95852,0,0.76762,0.65711,0.74024,0.57777,0.80068,0.69432,0.77108,0.51883,0.84937,1.28629,0.84097,0.92609,0,0.000308337,0.000308337,0.000308337
19,1890.64,0.90062,1.1243,0.93235,0.95862,0,0.74408,0.67358,0.75925,0.59835,0.83113,0.70426,0.78887,0.52513,0.84563,1.1933,0.82121,0.91729,0,0.000304083,0.000304083,0.000304083
20,1990,0.89377,1.07396,0.90057,0.95518,0,0.74408,0.69198,0.75546,0.59305,0.76058,0.71642,0.77422,0.52853,0.84692,1.4263,0.80246,0.91386,0,0.000299629,0.000299629,0.000299629
21,2089.32,0.88817,1.07173,0.90058,0.96104,0,0.7353,0.72614,0.76959,0.60467,0.82904,0.72981,0.79616,0.53291,0.82898,1.21275,0.77732,0.91471,0,0.000294981,0.000294981,0.000294981
22,2188.67,0.88937,1.07535,0.86853,0.95514,0,0.84933,0.69948,0.77952,0.62006,0.86317,0.72032,0.80625,0.53861,0.8453,1.1976,0.77781,0.91386,0,0.000290147,0.000290147,0.000290147
23,2288.01,0.88296,1.06715,0.87011,0.95133,0,0.85981,0.72452,0.79798,0.62721,0.86097,0.72315,0.80608,0.53469,0.85183,1.27153,0.74321,0.92074,0,0.000285134,0.000285134,0.000285134
24,2387.44,0.87462,1.06907,0.84693,0.94835,0,0.81867,0.71849,0.80163,0.64137,0.81555,0.71659,0.79238,0.55749,0.82808,1.19362,0.74674,0.90557,0,0.000279951,0.000279951,0.000279951
25,2486.75,0.86449,1.04636,0.82381,0.94353,0,0.80476,0.71397,0.78891,0.62902,0.81435,0.72516,0.7841,0.54098,0.818,1.18423,0.70639,0.90437,0,0.000274604,0.000274604,0.000274604
